,tweet,class
0,As a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out,0
1,momma said no pussy cats inside my doghouse,0
2,SimplyAddictedToGuys woof woof hot scally lad,0
3,woof woof and hot soles,0
4,Lemmie eat a Oreo amp do these dishes One oreo Lol,0
5,Why the eggplant emoji doe y he say she looked like scream lmao,0
6,baby monkey bathtime Awwwwe This is soooo ADORABLE,0
7,queer gaywad,1
8,alsarabsss hes a beaner smh you can tell hes a mexican,1
9,youre fucking gay blacklisted hoe Holding out for TehGodClan anyway,1
10,Baseball season for the win Yankees This is where the love started,0
11,Im an early bird and Im a night owl so Im wise and have worms,0
12,Overdosing on heavy drugs doesnt sound bad tonight I do that pussy shit every day,0
13,Pit Bulls Photographed As Lovely Fairy Tale Creatures They are fairy tale creatures,0
14,As long as the Lakers trash from now on I could careless And thats real CC hahaha,0
15,this the I play soccer cheat on girls and wear khaki coloured cargos haircut yup,0
16,This isnt ghetto its smart Im doing this idc,0
17,Who wants to get there nose in these bad bois then scally chav sockfetish stinking hot sox and legs,0
18,Peel up peel up bring it back up rewind back where Im from they move Shaq from the line ooooow who tf said that trash,0
19,UCFPINKPAY come on stay alive knights nation This is still the early bird special ComeAtMeUT,0
20,Stay tuned to for an update on the report that 1B will be out 8 10 weeks bum,0
21,I play soccer cheat on girls and wear khaki coloured cargos haircut yes lmfao,0
22,LMFAOOOO I HATE BLACK PEOPLE This is why theres black people and niggers,1
23,a pissed lad past out I would lick his dirty soles while he slept,0
24,love frat boy w soft long soles,0
25,sexy lad with hot soles and arches,0
26,I got hicks lol,0
27,10 birds your grandkids may never see thanks to climate change Climate,0
28,At least Im not a nigger Lmfao,1
29,Ariza is a snake and a coward but at least he isnt a cripple like your hero Roach lmaoo,1
30,Fosters home for imaginary trash WHOA CHILL that show was everything tf,0
31,61 of welfare government aid is claimed by white people So yall black slander is trash now,0
32,Drakes new shoes that will be released by Nike Jordan Yes theres glitter on the shoes dudes a fag,1
33,inna di ghetto You alone lmaoo,0
34,hoes Austin teach us Austin I teach u how to get curved Thats all I know,0
35,Eli Manning just threw his NFL leading 27th interception of the season Lmao trash,0
36,USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team hes a bitch,0
37,Chilling sexy scally lad,0
38,tuku ho idk blah blah blah,0
39,Im not mad cuh hahaha suure tuku ho ita,0
40,this scally lad would get it,0
41,GerrysHalloweenParty Halloween was yesterday stupid nigger,1
42,15 sad TV character deaths were still bitter over stark was the man,0
43,A smuggler explains how he helped fighters along the Jihadi Highway,0
44,Down 6 1 Yankees look to rally in the bottom of the 9th RALLYCAP,0
45,is bored supposed to be cute you faggot Sometimes,1
46,One mans trash is another mans treasure,0
47,lassen cc the coach wants me i feel it youll get more my nig no doubt,1
